Metabolite	MZ	RT	Adduct
4-Hydroxyphenylglyoxylic acid	400.0852	5.34	[M+H]+
4-Hydroxypiperidine	335.1423	5.71	[M+H]+
4-Hydroxystyrene	354.116	8.84	[M+H]+
4-Sulfocatechol	424.052	4.55	[M+H]+
5-Aminopentanal	335.1423	4.72	[M+H]+
5-Hydroxyectoine	392.1272	3.7	[M+H]+
5-Pyridoxolactone	399.1009	4.27	[M+H]+
7-Carboxy-7-carbaguanine	428.1012	2.88	[M+H]+
Adenosine	501.1515	2.22	[M+H]+
alpha-Cyano-4-hydroxycinnamic acid	423.1008	7.01	[M+H]+
Aminoethoxyacetic acid	353.1162	2.74	[M+H]+
Argininic acid	409.1534	1.68	[M+H]+
Arginyl-Proline	505.2221	2.01	[M+H]+
Aspartyl-Glutamine	495.1549	1.56	[M+H]+
Cadaverine	336.1735	2.09	[M+H]+
CDP-glycerol	711.1138	1.26	[M+H]+
Creatinine	347.1169	3.11	[M+H]+
cyclic 6-Hydroxymelatonin	480.1589	6.37	[M+H]+
Dehydroalanine	321.0905	3.98	[M+H]+
D-Lysopine	343.1214	6.61	[M+2H]2+
Epsilon-(gamma-Glutamyl)-lysine	371.6329	5.18	[M+2H]2+
Formyl-5-hydroxykynurenamine	338.0999	7.84	[M+2H]2+
gamma-Amino-gamma-cyanobutanoic acid	362.1162	3.05	[M+H]+
gamma-CEHC	498.194	8.61	[M+H]+
Glycyl-glycine	366.1118	1.68	[M+H]+
Homo-L-arginine	328.1219	5.31	[M+2H]2+
Homomethionine	397.1243	4.99	[M+H]+
Hydroxyprolyl-Alanine	436.1537	2.93	[M+H]+
Hydroxyprolyl-Histidine	502.1759	3.85	[M+H]+
Hydroxyprolyl-Hydroxyproline	478.1644	3.26	[M+H]+
Hydroxyprolyl-Leucine	478.2006	5.35	[M+H]+
Hydroxyprolyl-Proline	462.1685	2.63	[M+H]+
Hypoglycin B	504.1794	3.58	[M+H]+
Iminodiacetic acid	367.0957	2.87	[M+H]+
"L-2,4-Diaminobutanoic acid"	293.0953	6.91	[M+2H]2+
L-2-Amino-5-hydroxypentanoic acid	367.1317	2.47	[M+H]+
L-alpha-Aspartyl-L-hydroxyproline	480.1445	3.18	[M+H]+
L/D-Arginine	321.1142	5.04	[M+2H]2+
L/D-Asparagine	366.1119	1.26	[M+H]+
L-Aspartate 4-semialdehyde	351.101	4.02	[M+H]+
L-Aspartyl-L-phenylalanine	514.1637	4.96	[M+H]+
L-beta-aspartyl-L-phenylalanine	514.164	4.17	[M+H]+
L-Cysteinylglycine disulfide	382.5799	5.51	[M+2H]2+
L/N'-Formylkynurenine	470.1379	4.4	[M+H]+
L/D-Glutamine	380.1265	1.37	[M+H]+
L-N-Carboxymethylserine	397.1062	2	[M+H]+
L-Norleucine	365.1527	6.44	[M+H]+
L-prolyl-L-proline	446.1737	3.68	[M+H]+
L-Targinine	422.1846	1.28	[M+H]+
L-trans-4-Methyl-2-pyrrolidinecarboxylic acid	363.1375	5.37	[M+H]+
L-trans-5-Hydroxy-2-piperidinecarboxylic acid	379.1313	5.49	[M+H]+
Luteolin 7-O-[beta-D-glucuronosyl-(1->2)-beta-D-glucuronide]-4'-O-beta-D-glucuronide	641.127	7.51	[M+2H]2+
Lysyl-Glycine	335.6213	5.82	[M+2H]2+
Lysyl-Proline	355.6379	6.64	[M+2H]2+
Methionyl-Serine	470.1381	2.62	[M+H]+
Methylamine	265.1001	4.07	[M+H]+
N(6)-Methyllysine	314.119	7.57	[M+2H]2+
"N(alpha)-Acetyl-L-2,4-diaminobutyric acid"	394.1432	2.87	[M+H]+
N5-Acetyl-L-Ornithine	408.1574	1.99	[M+H]+
"N6-(L-1,3-Dicarboxypropyl)-L-lysine"	510.1896	1.53	[M+H]+
N6-Methyladenosine	515.17	1.8	[M+H]+
N8-Acetylspermidine	327.642	6.94	[M+2H]2+
"N-Acetyl-3,4-Dihydroxy-L-phenylalanine"	473.1373	6.36	[M+H]+
N-Acetyl-Dopamine	429.1468	5.69	[M+H]+
N-Acetylindoxyl	409.1218	7.13	[M+H]+
N-Acetyl-L-Noradrenaline	445.143	4.86	[M+H]+
N-Carboxyethyl-g-aminobutyric acid	409.1425	4.45	[M+H]+
N-Formimino-L-glutamic acid	408.1215	3.36	[M+H]+
O-Methyl-L-threonine	367.1321	3.51	[M+H]+
p-Hydroxyphenylacetylglycine	443.1275	4.44	[M+H]+
Prolyl-Aspartic acid	464.1488	3.15	[M+H]+
Prolyl-Gamma-glutamic acid	355.62	6.69	[M+2H]2+
Prolyl-Glutamine	477.1804	2.6	[M+H]+
Prolylglycine	406.1433	3.57	[M+H]+
Prolyl-Lysine	355.6377	6.92	[M+2H]2+
Prolyl-Threonine	450.1682	3.41	[M+H]+
Putrescine	278.1086	7.56	[M+2H]2+
Pyrrolidine	305.1316	6.52	[M+H]+
Salicylic acid	372.0898	6.15	[M+H]+
Salsoline-1-carboxylic acid	352.6088	9.12	[M+2H]2+
Salsolinol 1-carboxylic acid	345.6006	8.88	[M+2H]2+
Serylleucine	452.1854	4.43	[M+H]+
Serylvaline	438.1688	4.07	[M+H]+
Slaframine	432.1942	4.73	[M+H]+
Symmetric dimethylarginine	436.2004	1.39	[M+H]+
Tabtoxinine-beta-lactam	422.1375	2.05	[M+H]+
Tetrahydropentoxyline	600.2003	2.66	[M+H]+
Thyroxine	622.4002	10.55	[M+2H]2+
trans-S-(1-Propenyl)-L-cysteine	395.1085	5.7	[M+H]+
Trihomomethionine	425.1563	6.39	[M+H]+
Valyl-Hydroxyproline	464.1859	3.11	[M+H]+
Zymonic acid	392.079	4.38	[M+H]+
